"iso2c","country","year"
"AT","Austria",1995
"AT","Austria",1996
"AT","Austria",1997
"AT","Austria",1998
"AT","Austria",1999
"AT","Austria",2000
"AT","Austria",2001
"AT","Austria",2002
"AT","Austria",2003
"AT","Austria",2004
"AT","Austria",2005
"AT","Austria",2006
"AT","Austria",2007
"AT","Austria",2008
"AT","Austria",2009
"AT","Austria",2010
"AT","Austria",2011
"AT","Austria",2012
"AT","Austria",2013
"AT","Austria",2014
"AT","Austria",2015
"BE","Belgium",1958
"BE","Belgium",1959
"BE","Belgium",1960
"BE","Belgium",1961
"BE","Belgium",1962
"BE","Belgium",1963
"BE","Belgium",1964
"BE","Belgium",1965
"BE","Belgium",1966
"BE","Belgium",1967
"BE","Belgium",1968
"BE","Belgium",1969
"BE","Belgium",1970
"BE","Belgium",1971
"BE","Belgium",1972
"BE","Belgium",1973
"BE","Belgium",1974
"BE","Belgium",1975
"BE","Belgium",1976
"BE","Belgium",1977
"BE","Belgium",1978
"BE","Belgium",1979
"BE","Belgium",1980
"BE","Belgium",1981
"BE","Belgium",1982
"BE","Belgium",1983
"BE","Belgium",1984
"BE","Belgium",1985
"BE","Belgium",1986
"BE","Belgium",1987
"BE","Belgium",1988
"BE","Belgium",1989
"BE","Belgium",1990
"BE","Belgium",1991
"BE","Belgium",1992
"BE","Belgium",1993
"BE","Belgium",1994
"BE","Belgium",1995
"BE","Belgium",1996
"BE","Belgium",1997
"BE","Belgium",1998
"BE","Belgium",1999
"BE","Belgium",2000
"BE","Belgium",2001
"BE","Belgium",2002
"BE","Belgium",2003
"BE","Belgium",2004
"BE","Belgium",2005
"BE","Belgium",2006
"BE","Belgium",2007
"BE","Belgium",2008
"BE","Belgium",2009
"BE","Belgium",2010
"BE","Belgium",2011
"BE","Belgium",2012
"BE","Belgium",2013
"BE","Belgium",2014
"BE","Belgium",2015
"BG","Bulgaria",2007
"BG","Bulgaria",2008
"BG","Bulgaria",2009
"BG","Bulgaria",2010
"BG","Bulgaria",2011
"BG","Bulgaria",2012
"BG","Bulgaria",2013
"BG","Bulgaria",2014
"BG","Bulgaria",2015
"CY","Cyprus",2004
"CY","Cyprus",2005
"CY","Cyprus",2006
"CY","Cyprus",2007
"CY","Cyprus",2008
"CY","Cyprus",2009
"CY","Cyprus",2010
"CY","Cyprus",2011
"CY","Cyprus",2012
"CY","Cyprus",2013
"CY","Cyprus",2014
"CY","Cyprus",2015
"HR","Croatia",2013
"HR","Croatia",2014
"HR","Croatia",2015
"CZ","Czech Republic",2004
"CZ","Czech Republic",2005
"CZ","Czech Republic",2006
"CZ","Czech Republic",2007
"CZ","Czech Republic",2008
"CZ","Czech Republic",2009
"CZ","Czech Republic",2010
"CZ","Czech Republic",2011
"CZ","Czech Republic",2012
"CZ","Czech Republic",2013
"CZ","Czech Republic",2014
"CZ","Czech Republic",2015
"DK","Denmark",1973
"DK","Denmark",1974
